Cubic	4.37	3209.0	9524.0	11024.0
NReno	4.4	3040.0	7415.0	10565.0
Vegas	3.86	41.0	147.0	636.0
Verus	4.11	210.0	667.0	1443.0
Sprout	2.52	28.0	77.0	286.0
BBR	4.05	132.0	449.0	1141.0
C2TCP	3.54	41.0	120.0	424.0
Codel_Cubic	3.15	23.0	72.0	330.0
