Cubic	9.66	1678.0	5356.0	11236.0	0.991786447639
NReno	9.69	1744.0	5047.0	12251.0	0.994866529774
Vegas	6.2	23.0	87.0	452.0	0.636550308008
Verus	9.27	191.0	411.0	1977.0	0.951745379877
Sprout	5.91	26.0	60.0	174.0	0.606776180698
BBR	8.87	62.0	171.0	734.0	0.91067761807
C2TCP	8.17	34.0	87.0	480.0	0.838809034908
Codel_Cubic	7.19	19.0	55.0	486.0	0.73819301848
